topic_id,topic_name,state,blurts_count,sentiment_average
2,speakers,Florida,1,-3.0000
8,CDs,Florida,2,-0.5000
9,teddys,Florida,1,-3.0000
1,shoes,Pennsylvania,6,-1.8333
9,teddys,Pennsylvania,5,-2.6000
1,shoes,Wyoming,5,-0.6000
3,bats,Wyoming,4,-0.7500
5,caps,Michigan,4,-1.2500
6,pens,Michigan,3,-2.3333
3,bats,Hawaii,4,-2.0000
2,speakers,Washington,2,-0.5000
7,games,Washington,3,-0.6667
8,CDs,Masachussets,2,-0.5000
4,hoodies,Pennsylvania,5,-0.2000
9,teddys,Wyoming,5,-1.4000
5,caps,Illinois,4,-0.5000
2,speakers,Illinois,5,-0.8000
5,caps,Utah,4,-1.0000
1,shoes,Utah,3,-0.6667
8,CDs,Utah,5,-0.2000
4,hoodies,Hawaii,4,-0.7500
2,speakers,Utah,4,-0.5000
7,games,Utah,3,-0.3333
2,speakers,Texas,1,-1.0000
1,shoes,Oregon,2,-1.5000
4,hoodies,Wyoming,3,-0.3333
2,speakers,Pennsylvania,5,-0.4000
3,bats,Washington,4,-0.2500
5,caps,Oregon,3,-0.3333
1,shoes,"Ney York",3,-1.0000
8,CDs,Oregon,3,-0.6667
3,bats,Utah,2,-2.5000
4,hoodies,California,2,-0.5000
8,CDs,Nevada,3,-1.0000
7,games,Pennsylvania,3,-1.6667
5,caps,"Ney York",1,-3.0000
7,games,Hawaii,2,-1.5000
3,bats,Oregon,2,-1.0000
2,speakers,"Ney York",3,-1.0000
7,games,Michigan,2,-0.5000
1,shoes,Nevada,2,-2.0000
3,bats,"Ney York",1,-3.0000
4,hoodies,"Ney York",3,-1.0000
4,hoodies,Illinois,3,-0.3333
2,speakers,Wyoming,1,-3.0000
1,shoes,Masachussets,3,-1.0000
7,games,Masachussets,1,-2.0000
6,pens,Nevada,1,-3.0000
3,bats,Illinois,1,-2.0000
1,shoes,Florida,1,-2.0000
8,CDs,Illinois,1,-1.0000
2,speakers,Nevada,1,-2.0000
5,caps,California,1,-2.0000
